




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
interleukin-1 type I receptor antagonist activity (GO:0045352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol binding (GO:0043178)	94	0	.08	-	 < 0.01	1.00E00	1.00E00
organic acid binding (GO:0043177)	187	0	.16	-	 < 0.01	1.00E00	1.00E00
amine binding (GO:0043176)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	42	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate phosphatase activity (GO:0004438)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4K20 demethylase activity (GO:0035575)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
molecular template activity (GO:0140489)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
metal ion sequestering activity (GO:0140487)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate phospholipase C activity (GO:0004435)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
zinc ion sequestering activity (GO:0140486)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
5-aminolevulinic acid transmembrane transporter activity (GO:0140485)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kinetochore adaptor activity (GO:0140483)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol 4-kinase activity (GO:0004430)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ABC-type iron-sulfur cluster transporter activity (GO:0140481)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
15-oxoprostaglandin 13-reductase [NAD(P)+] activity (GO:0047522)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mercury ion binding (GO:0045340)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphate phosphatase activity (GO:0004427)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
iduronate-2-sulfatase activity (GO:0004423)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hypoxanthine phosphoribosyltransferase activity (GO:0004422)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA synthase activity (GO:0004421)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-ornithine transmembrane transporter activity (GO:0000064)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA binding (GO:0000062)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor-receptor interaction (GO:0090722)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA lyase activity (GO:0004419)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylbilane synthase activity (GO:0004418)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxyacylglutathione hydrolase activity (GO:0004416)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hyalurononglucosaminidase activity (GO:0004415)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase regulator activity (GO:0055106)	36	0	.03	-	 < 0.01	1.00E00	1.00E00
chromatin-protein adaptor activity (GO:0140463)	117	0	.10	-	 < 0.01	1.00E00	1.00E00
homogentisate 1,2-dioxygenase activity (GO:0004411)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase inhibitor activity (GO:0055105)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase inhibitor activity (GO:0055104)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ligase regulator activity (GO:0055103)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxynucleoside phosphate kinase activity, ATP as phosphate donor (GO:0047507)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
lipase inhibitor activity (GO:0055102)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
CCACCA tRNA nucleotidyltransferase activity (GO:0160016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dAMP kinase activity (GO:0047506)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
adiponectin binding (GO:0055100)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone decrotonylase activity, NAD-dependent (GO:0160012)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD-dependent protein decrotonylase activity (GO:0160011)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein de-2-hydroxyisobutyrylase activity (GO:0160010)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
unmethylated CpG binding (GO:0045322)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
holocytochrome-c synthase activity (GO:0004408)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (GO:0004407)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
protein demethylase activity (GO:0140457)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (GO:0004402)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
histone decrotonylase activity (GO:0160009)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
protein decrotonylase activity (GO:0160008)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-ADP-D-ribose modification-dependent protein binding (GO:0160004)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA binding (GO:0000049)	82	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyltransferase activity (GO:0000048)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-D-ribose modification-dependent protein binding (GO:0160002)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA helicase activity (GO:0043139)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-5' DNA helicase activity (GO:0043138)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
sn-glycerol 3-phosphatase activity (GO:0043136)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity (GO:0035539)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate response element binding (GO:0035538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-nuclear membrane anchor activity (GO:0140444)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine binding (GO:0031177)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphorylated amino acid binding (GO:0045309)	59	0	.05	-	 < 0.01	1.00E00	1.00E00
acyl carrier activity (GO:0000036)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl binding (GO:0000035)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
IDP phosphatase activity (GO:1990003)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosyltransferase activity (GO:0000033)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylglyoxal reductase (NADPH) (acetol producing) activity (GO:1990002)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase activity (GO:0000030)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
ErbB-3 class receptor binding (GO:0043125)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH pyrophosphatase activity (GO:0035529)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotrophin binding (GO:0043121)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor binding (GO:0043120)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-stearoyltransferase activity (GO:0140439)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-(abasic site) binding (GO:0140431)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,2-mannosyltransferase activity (GO:0000026)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
broad specificity oxidative DNA demethylase activity (GO:0035516)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidative RNA demethylase activity (GO:0035515)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA demethylase activity (GO:0035514)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
lactase activity (GO:0000016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA endodeoxyribonuclease activity (GO:0000014)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K79 methyltransferase activity (GO:0031151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription regulator inhibitor activity (GO:0140416)	42	0	.04	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane targeting sequence binding (GO:0033328)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MH1 domain binding (GO:0035501)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MH2 domain binding (GO:0035500)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine-dependent carrier activity (GO:0140414)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
zinc:bicarbonate symporter activity (GO:0140412)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine phosphoribosyltransferase activity (GO:0003999)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acylphosphatase activity (GO:0003998)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
monoatomic cation:bicarbonate symporter activity (GO:0140410)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA oxidase activity (GO:0003997)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA dehydrogenase activity (GO:0003995)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-1,6-mannosyltransferase activity (GO:0000009)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aconitate hydratase activity (GO:0003994)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acid phosphatase activity (GO:0003993)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholinesterase activity (GO:0003990)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA carboxylase activity (GO:0003989)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acyltransferase activity (GO:0003988)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
acetate-CoA ligase activity (GO:0003987)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA hydrolase activity (GO:0003986)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acetyltransferase activity (GO:0003985)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase activity (GO:0003984)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP:glucose-1-phosphate uridylyltransferase activity (GO:0003983)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	58	0	.05	-	 < 0.01	1.00E00	1.00E00
UDP-glucose 6-dehydrogenase activity (GO:0003979)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glucose 4-epimerase activity (GO:0003978)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity (GO:0003976)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity (GO:0003975)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-(1,2)-fucosyltransferase activity (GO:0031127)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine 4-epimerase activity (GO:0003974)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(S)-2-hydroxy-acid oxidase activity (GO:0003973)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
molecular transducer activity (GO:0060089)	1604	0	1.40	-	 < 0.01	3.93E-01	1.00E00
RNA ligase (ATP) activity (GO:0003972)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexosaminidase activity (GO:0015929)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
IgM receptor activity (GO:0001793)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fucosidase activity (GO:0015928)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polymeric immunoglobulin receptor activity (GO:0001792)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trehalase activity (GO:0015927)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgM binding (GO:0001791)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosidase activity (GO:0015926)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
polymeric immunoglobulin binding (GO:0001790)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
galactosidase activity (GO:0015925)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide mannosidase activity (GO:0015924)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
mannosidase activity (GO:0015923)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA-directed RNA polymerase activity (GO:0003968)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA-directed DNA polymerase activity (GO:0003964)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA-3'-phosphate cyclase activity (GO:0003963)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
quinone reductase (NADPH) activity (GO:0003960)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine binding (GO:0001786)	61	0	.05	-	 < 0.01	1.00E00	1.00E00
prostaglandin J receptor activity (GO:0001785)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphotyrosine residue binding (GO:0001784)	47	0	.04	-	 < 0.01	1.00E00	1.00E00
large conductance calcium-activated potassium channel activity (GO:0060072)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase activity (GO:0097747)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
steryl-beta-glucosidase activity (GO:0050295)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid sulfotransferase activity (GO:0050294)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingosine N-acyltransferase activity (GO:0050291)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingomyelin phosphodiesterase D activity (GO:0050290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH dehydrogenase activity (GO:0003959)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
NADPH-hemoprotein reductase activity (GO:0003958)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ transhydrogenase (Si-specific) activity (GO:0003957)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD(P)H dehydrogenase (quinone) activity (GO:0003955)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase activity (GO:0003954)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleosidase activity (GO:0003953)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ synthase (glutamine-hydrolyzing) activity (GO:0003952)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ kinase activity (GO:0003951)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ poly-ADP-ribosyltransferase activity (GO:0003950)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity (GO:0003948)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity (GO:0003947)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyllactosamine synthase activity (GO:0003945)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity (GO:0003944)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine-4-sulfatase activity (GO:0003943)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine ammonia-lyase activity (GO:0003941)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-iduronidase activity (GO:0003940)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-alanine transmembrane transporter activity (GO:0001761)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aminocarboxymuconate-semialdehyde decarboxylase activity (GO:0001760)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sedoheptulokinase activity (GO:0050277)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cortisol dehydrogenase (NADP+) activity (GO:0102196)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-fructosamine 3-kinase activity (GO:0102194)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-ribulosamine 3-kinase activity (GO:0102193)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-iditol 2-dehydrogenase (NAD+) activity (GO:0003939)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP dehydrogenase activity (GO:0003938)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP cyclohydrolase activity (GO:0003937)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP cyclohydrolase I activity (GO:0003934)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP cyclohydrolase activity (GO:0003933)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA 9-desaturase activity (GO:0032896)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal dehydrogenase (NAD+) activity (GO:0001758)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
neuropilin binding (GO:0038191)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
disordered domain specific binding (GO:0097718)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA uridylyltransferase activity (GO:0050265)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP binding (GO:0019003)	78	0	.07	-	 < 0.01	1.00E00	1.00E00
GMP binding (GO:0019002)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinamide kinase activity (GO:0050262)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
guanyl nucleotide binding (GO:0019001)	406	0	.36	-	 < 0.01	1.00E00	1.00E00
G protein activity (GO:0003925)	102	0	.09	-	 < 0.01	1.00E00	1.00E00
GTPase activity (GO:0003924)	343	0	.30	-	 < 0.01	1.00E00	1.00E00
pattern recognition receptor activity (GO:0038187)	53	0	.05	-	 < 0.01	1.00E00	1.00E00
peroxynitrite isomerase activity (GO:0062213)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI-anchor transamidase activity (GO:0003923)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid nuclear receptor activity (GO:0038186)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP synthase activity (GO:0003921)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP reductase activity (GO:0003920)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled bile acid receptor activity (GO:0038182)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribitol 2-dehydrogenase (NAD+) activity (GO:0050255)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rhodopsin kinase activity (GO:0050254)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class II protein binding, via antigen binding groove (GO:0042658)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinyl-palmitate esterase activity (GO:0050253)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
retinol O-fatty-acyltransferase activity (GO:0050252)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
retinol isomerase activity (GO:0050251)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-beta-hydroxysteroid dehydrogenase (NAD+)/C4-decarboxylase activity (GO:0102175)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FMN adenylyltransferase activity (GO:0003919)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type I (single strand cut, ATP-independent) activity (GO:0003917)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase activity (GO:0003916)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
death receptor agonist activity (GO:0038177)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA nucleotidylexotransferase activity (GO:0003912)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligase (ATP) activity (GO:0003910)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
prenylcysteine oxidase activity (GO:0001735)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA m(6)A methyltransferase activity (GO:0001734)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
galactosylceramide sulfotransferase activity (GO:0001733)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent (GO:0030697)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
2'-5'-oligoadenylate synthetase activity (GO:0001730)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligase activity (GO:0003909)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
methylated-DNA-[protein]-cysteine S-methyltransferase activity (GO:0003908)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
alkylbase DNA N-glycosylase activity (GO:0003905)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide kinase activity (GO:0001729)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thrombopoietin receptor activity (GO:0038164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid kinase activity (GO:0001727)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity (GO:0102158)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine oxidase activity (GO:0050232)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-amino-acid oxidase activity (GO:0001716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plus-end directed microfilament motor activity (GO:0060002)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
minus-end directed microfilament motor activity (GO:0060001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
farnesylcysteine lyase activity (GO:0102149)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled transmembrane transporter activity (GO:0042626)	99	0	.09	-	 < 0.01	1.00E00	1.00E00
prostaglandin E2 9-reductase activity (GO:0050221)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
prostaglandin-E synthase activity (GO:0050220)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
dermatan 2-sulfotransferase activity (GO:0102142)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate N-deacetylase activity (GO:0102140)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
C-X-C motif chemokine 12 receptor activity (GO:0038147)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitonin binding (GO:0032841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propionate-CoA ligase activity (GO:0050218)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen galactosyltransferase activity (GO:0050211)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CD8 receptor binding (GO:0042610)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP 3',8'-cyclase activity (GO:0061798)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuregulin binding (GO:0038132)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
pH-gated chloride channel activity (GO:0061797)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neuregulin receptor activity (GO:0038131)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
plasmanylethanolamine desaturase activity (GO:0050207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CD4 receptor binding (GO:0042609)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
T cell receptor binding (GO:0042608)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
fucokinase activity (GO:0050201)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide antigen binding (GO:0042605)	45	0	.04	-	 < 0.01	1.00E00	1.00E00
UFM1 transferase activity (GO:0071568)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
deUFMylase activity (GO:0071567)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
riboflavin reductase (NADPH) activity (GO:0042602)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UFM1 activating enzyme activity (GO:0071566)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-aspartyl-peptidase activity (GO:0008798)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bis(5'-nucleosyl)-tetraphosphatase activity (GO:0008796)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
C-C motif chemokine 21 receptor activity (GO:0038121)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arsenate reductase (glutaredoxin) activity (GO:0008794)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aromatic-amino-acid transaminase activity (GO:0008793)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan muralytic activity (GO:0061783)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
arginine decarboxylase activity (GO:0008792)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K27me2/H3K27me3 demethylase activity (GO:0071558)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled pyrimidinergic nucleotide receptor activity (GO:0071553)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
C-C motif chemokine 19 receptor activity (GO:0038117)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily binding (GO:0032813)	49	0	.04	-	 < 0.01	1.00E00	1.00E00
cohesin loader activity (GO:0061775)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol response element binding (GO:0032810)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
agmatinase activity (GO:0008783)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylneuraminate cytidylyltransferase activity (GO:0008781)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation elongation factor binding (GO:0061770)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein carboxyl O-methyltransferase activity (GO:0051998)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
squalene synthase [NAD(P)H] activity (GO:0051996)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(R)-2-hydroxyglutarate dehydrogenase activity (GO:0051990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
